SE,roc_area,invalid,valid,total_correct,num_features,num_layers,regl2
11.16484645,0.918919712,50,12,62,15,0,0.001
12.28527238,0.907449994,50,11,61,17,0,0.001
15.48723049,0.85358779,47,11,58,19,0,0.001
9.822521981,0.91719916,50,13,63,20,0,0.001
8.938351593,0.940556381,51,13,64,22,0,0.001
9.869664436,0.948589296,49,13,62,24,0,0.001
11.61362255,0.925334108,48,13,61,26,0,0.001
10.02811375,0.941660457,50,13,63,28,0,0.001
11.61966271,0.915104503,50,12,62,30,0,0.001
12.1690694,0.905541076,49,12,61,15,0,0.0001
14.22251754,0.885498637,49,11,60,17,0,0.0001
18.16881084,0.824814204,46,11,57,19,0,0.0001
10.94131047,0.882627143,49,13,62,20,0,0.0001
9.260929566,0.930490832,50,13,63,22,0,0.0001
12.6841933,0.909930865,47,13,60,24,0,0.0001
14.58629198,0.902462145,47,13,60,26,0,0.0001
13.62923432,0.932560419,46,13,59,28,0,0.0001
11.87131012,0.921133854,48,14,62,30,0,0.0001
11.82446461,0.910917521,49,11,60,15,0,1.00E-05
15.5793893,0.879035847,48,11,59,17,0,1.00E-05
18.79133885,0.812656484,47,10,57,19,0,1.00E-05
10.3174448,0.885209147,50,13,63,20,0,1.00E-05
10.14190549,0.931945443,49,13,62,22,0,1.00E-05
12.91577869,0.927760153,47,13,60,24,0,1.00E-05
14.9190553,0.905636336,46,13,59,26,0,1.00E-05
12.21375242,0.936361809,47,13,60,28,0,1.00E-05
14.12249839,0.898939513,47,13,60,30,0,1.00E-05
12.72198272,0.901286311,50,11,61,15,0,1.00E-06
15.03424338,0.874992425,48,11,59,17,0,1.00E-06
18.38264712,0.809462158,47,11,58,19,0,1.00E-06
12.83289875,0.863840752,48,13,61,20,0,1.00E-06
9.831399552,0.934921007,50,14,63,22,0,1.00E-06
12.71367877,0.915587885,48,13,61,24,0,1.00E-06
13.37564257,0.896819706,47,13,60,26,0,1.00E-06
14.19448976,0.926070698,46,14,60,28,0,1.00E-06
15.95130669,0.87526078,46,12,58,30,0,1.00E-06
13.52702733,0.88922243,48,12,60,15,0,1.00E-07
14.8556199,0.889123903,49,11,60,17,0,1.00E-07
19.23077776,0.811973311,45,11,56,19,0,1.00E-07
11.63190816,0.866738793,49,13,62,20,0,1.00E-07
10.23699046,0.922087663,49,13,62,22,0,1.00E-07
13.76805672,0.931984193,46,13,59,24,0,1.00E-07
15.38599727,0.902432807,46,13,59,26,0,1.00E-07
13.59473114,0.917248441,46,14,60,28,0,1.00E-07
14.45163365,0.888196391,48,13,61,30,0,1.00E-07
