SE,roc_area,total_correct,num_features,num_layers,regl2,valid,invalid
8.182993067,0.975926132,63,15,0,0.001,12,51
8.151507749,0.976908759,63,17,0,0.001,12,51
7.961043331,0.977231646,63.4,19,0,0.001,12,51
7.547042293,0.980974027,63.4,20,0,0.001,12,51
7.454428492,0.980677942,63,22,0,0.001,12,51
7.074779738,0.983254117,63,24,0,0.001,12,51
6.564038744,0.986358322,65,26,0,0.001,14,52
5.985218258,0.988569991,67,28,0,0.001,15,52
5.957871269,0.988588836,67,30,0,0.001,15,52
5.822564604,0.987042433,66,15,0,0.0001,15,51
5.910281889,0.987860566,65,17,0,0.0001,13,52
5.878989579,0.986554901,66,19,0,0.0001,14,52
5.362369505,0.988904952,66.6,20,0,0.0001,15,52
5.131330163,0.991661371,66,22,0,0.0001,15,51
4.956280417,0.990602101,66.8,24,0,0.0001,15,51
4.208201922,0.993883787,67,26,0,0.0001,15,52
3.793206316,0.994940884,67.6,28,0,0.0001,15,53
3.951437488,0.994535798,67,30,0,0.0001,15,52
6.043848613,0.98685474,64,15,0,1.00E-05,14,50
5.613985913,0.988756107,66,17,0,1.00E-05,14,52
5.116875149,0.991233634,67,19,0,1.00E-05,15,52
5.40909902,0.990092397,65,20,0,1.00E-05,15,50
4.491715381,0.993278361,67,22,0,1.00E-05,15,52
4.846900434,0.991297659,67,24,0,1.00E-05,15,52
3.971616418,0.99452818,67,26,0,1.00E-05,15,52
3.777551982,0.994647688,67,28,0,1.00E-05,15,52
3.693387765,0.994934314,67.2,30,0,1.00E-05,15,52
5.369987899,0.990208499,67,15,0,1.00E-06,15,52
6.499928128,0.981972635,64,17,0,1.00E-06,14,50
5.305094436,0.989065417,66,19,0,1.00E-06,14,52
6.308607127,0.982600867,66,20,0,1.00E-06,15,51
4.616320495,0.992949741,67,22,0,1.00E-06,15,52
4.706062773,0.991624294,66,24,0,1.00E-06,15,51
4.186711751,0.99360808,67,26,0,1.00E-06,15,52
3.600094528,0.995198113,67.6,28,0,1.00E-06,15,52
3.614056747,0.99520631,68,30,0,1.00E-06,15,53
5.194810974,0.98997197,67,15,0,1.00E-07,15,52
5.619580005,0.986666578,66,17,0,1.00E-07,15,51
5.349226054,0.989393989,65,19,0,1.00E-07,14,51
4.946192177,0.99003004,67,20,0,1.00E-07,15,52
5.069201599,0.991428836,66,22,0,1.00E-07,15,51
4.511359879,0.993615007,66,24,0,1.00E-07,15,51
3.749726893,0.994662059,67,26,0,1.00E-07,15,52
3.600770668,0.994984443,67,28,0,1.00E-07,15,52
3.68264765,0.995078704,68,30,0,1.00E-07,15,53
